eventReceivedTimestamp,dedupedEventCount,failedEventCount,deliveredNestedEventCount
1531789200000,74650723,1360072,72038342
1531792800000,68314727,1291722,65834024
1531796400000,62471785,1127345,60214971
1531800000000,56449820,1041143,54208105
1531803600000,53132076,957868,50752807
1531807200000,49933611,842601,47298099
1531810800000,47073593,860992,44151860
1531814400000,42956716,769232,40459212
1531818000000,44316528,777305,41907198
1531821600000,50824501,953755,48199538
1531825200000,61242217,1037373,58450685
1531828800000,71178474,1162207,68180449
1531832400000,75038779,1323752,71856277
1531836000000,81938977,1338834,78532895
1531839600000,88923610,1412816,85274412
1531843200000,92701465,1418088,88889771
1531846800000,92710494,1403150,89012952
1531850400000,90943331,1444059,87434773
1531854000000,91165785,1428402,87737285
1531857600000,92748714,1490853,89327632
1531861200000,95674859,1584003,92142655
1531864800000,94086708,687357,90741047
1531868400000,87748911,562055,84725563
1531872000000,81936556,536681,79050761
1531875600000,76352668,517495,73688333
1531879200000,69605436,486940,67105625
1531882800000,63221839,438093,60791341
1531886400000,57176215,403061,54841050
1531890000000,53369567,328335,50976020
1531893600000,50409476,292178,47651729
1531897200000,47410107,264863,44398558
1531900800000,43261899,244321,40606780
1531904400000,44735180,238645,42234709
1531908000000,51065270,273847,48414350
1531911600000,61613768,339905,58768205
1531915200000,72007909,369004,68890392
1531918800000,76160930,415788,72867160
1531922400000,83318177,455448,79632554
1531926000000,90118594,513582,86097399
1531929600000,94160738,567991,89771790
1531933200000,94040163,544792,89879439
1531936800000,93527986,543260,89565526
1531940400000,94511600,556661,90569560
1531944000000,95795393,577272,91746185
1531947600000,98302206,570929,94266769
1531951200000,96350921,586543,92483906
1531954800000,89779252,551522,86166320
1531958400000,83619110,279388,74914491
1531962000000,78053334,3
1531965600000,45574125,5
1531969200000,1073362
1531972800000,158630
1531987200000,1,1
1531990800000,19,19
1531998000000,2,2
1532012400000,8,8
1532016000000,9,9
1532026800000,3,2,1
1532030400000,1,1
1532052000000,1,1
1532084400000,4,3
1532088000000,2,2
1532091600000,13,13
1532386800000,2,2
1532390400000,1,1
1533121200000,2,2
1533286800000,9
1533380400000,2,2
1533506400000,2,2
1533600000000,1,1
1533700800000,5,5
1534503600000,3,3
1534507200000,5,5
1547290800000,55495052,1196161,53813350
1547294400000,60117862,1234807,58351732
1547298000000,67968800,1500814,65849215
1547301600000,77802359,1595563,75486415
1547305200000,89683747,1876577,86932902
1547308800000,101069801,2005866,98067257
1547312400000,109615887,2087384,106408008
1547316000000,113494735,2134572,110170627
1547319600000,113600843,2138095,110260280
1547323200000,112281531,2092568,108999278
1547326800000,109177568,2127615,105898875
1547330400000,105686187,2202156,102357815
1547334000000,103031304,2053171,99895528
1547337600000,97979006,2036030,94933000
1547341200000,91344500,1901792,88482740
1547344800000,85240266,1830276,82523243
1547348400000,79999316,1765729,77371614
1547352000000,74682549,1642783,72236859
